file,title,title_len,desc_len,canonical,robots,h1_count,schema_count,schema_types,broken_count,internal_redirect_count,missing_alt_count
about.html,Oryele | About Oryele,21,105,https://oryele.ai/about.html,"index, follow, max-image-preview:large",1,2,"WebPage, BreadcrumbList, ListItem, ListItem, FAQPage, Question, Answer, Question, Answer, Question, Answer",0,0,0
accounting.html,Oryele | Accounting Firms,25,106,https://oryele.ai/accounting.html,"index, follow, max-image-preview:large",1,2,"WebPage, BreadcrumbList, ListItem, ListItem, FAQPage, Question, Answer, Question, Answer, Question, Answer",0,0,0
ai-center.html,Oryele | AI Center,18,135,https://oryele.ai/ai-center.html,"index, follow, max-image-preview:large",1,2,"WebPage, BreadcrumbList, ListItem, ListItem, FAQPage, Question, Answer, Question, Answer, Question, Answer",0,0,0
analytics.html,Oryele | Analytics,18,142,https://oryele.ai/analytics.html,"index, follow, max-image-preview:large",1,2,"WebPage, BreadcrumbList, ListItem, ListItem, FAQPage, Question, Answer, Question, Answer, Question, Answer",0,0,0
blog.html,Oryele | Blog,13,134,https://oryele.ai/blog.html,"index, follow, max-image-preview:large",1,2,"WebPage, BreadcrumbList, ListItem, ListItem, FAQPage, Question, Answer, Question, Answer, Question, Answer",0,0,0
client-portal.html,Oryele | Client Portal,22,73,https://oryele.ai/client-portal.html,"index, follow, max-image-preview:large",1,2,"WebPage, BreadcrumbList, ListItem, ListItem, FAQPage, Question, Answer, Question, Answer, Question, Answer",0,0,0
collaboration.html,Oryele | Collaboration,22,73,https://oryele.ai/collaboration.html,"index, follow, max-image-preview:large",1,2,"WebPage, BreadcrumbList, ListItem, ListItem, FAQPage, Question, Answer, Question, Answer, Question, Answer",0,0,0
communications.html,Oryele | Communications,23,79,https://oryele.ai/communications.html,"index, follow, max-image-preview:large",1,2,"WebPage, BreadcrumbList, ListItem, ListItem, FAQPage, Question, Answer, Question, Answer, Question, Answer",0,0,0
contact.html,Oryele | Request a Briefing,27,143,https://oryele.ai/contact.html,"index, follow, max-image-preview:large",1,1,"WebPage, BreadcrumbList, ListItem, ListItem",0,0,0
cookies.html,Oryele | Cookie Policy,22,73,https://oryele.ai/cookies.html,"index, follow, max-image-preview:large",1,1,"WebPage, BreadcrumbList, ListItem, ListItem",0,0,0
digital-workforce.html,Oryele | Digital Workforce,26,161,https://oryele.ai/digital-workforce.html,"index, follow, max-image-preview:large",1,2,"WebPage, BreadcrumbList, ListItem, ListItem, FAQPage, Question, Answer, Question, Answer, Question, Answer",0,0,0
experience.html,Experience Oryele | Enterprise Execution Platform,49,70,https://oryele.ai/experience.html,"index, follow, max-image-preview:large",1,1,"WebPage, BreadcrumbList, ListItem, ListItem",0,0,0
